ID,First Name,Last Name,Money Available,Cars Purchased,MinerCars Membership,Username,Password
1,Hermione,Granger,41237.47,0,true,hermionegranger,Hn)0pf5q
2,Jason,Bourne,46391.86,0,true,jasonbourne,aNgb9jkE
3,Frodo,Baggins,45381.68,0,false,frodobaggins,03#oxBYW
4,Yoda,Smith,41552.72,0,false,yoda,KVyCOGc*
5,Captain,America,31633.09,0,true,captainamerica,2Lob0Zfa
6,Sherlock,Holmes,22545.97,0,true,sherlockholmes,#A2UjgVh
7,Neo,Miller,1876.62,0,true,neo,L8GKCj$A
8,Captain,Jack Sparrow,25338.27,0,false,captainjacksparrow,3*Gts&4X
9,Atticus,Finch,43657.68,0,false,atticusfinch,3@H$PHpp
10,James,T. Kirk,17855.20,0,false,jamest.kirk,YQoQ3LH3
11,Wolverine,Wilson,45137.80,0,false,wolverine,SucLrbjh
12,Gandalf,Williams,35888.84,0,false,gandalf,Qa8b!@)k
13,John,Wick,35258.16,0,true,johnwick,WUa9@NUG
14,Tony,Stark,22035.25,0,true,tonystark,bmQ@0CrZ
15,Rocky,Balboa,17044.39,0,false,rockybalboa,Sma0y*cV
16,Luke,Skywalker,24267.18,0,false,lukeskywalker,Fl&^mI*Y
17,Morpheus,Wilson,24224.76,0,true,morpheus,1IZgnN1(
18,Tony,Montana,41234.53,0,true,tonymontana,ut@zVg$i
19,Batman,Miller,43288.00,0,false,batman,P8A)art(
20,Norman,Bates,33671.70,0,false,normanbates,SgSj29cv
21,E.T.,Moore,27324.29,0,true,e.t.,cstk@z!6
22,Jackie,Chan,26291.92,0,false,jackiechan,yCTnezqK
23,Travis,Bickle,36835.98,0,false,travisbickle,eT47a5mQ
24,Han,Solo,46816.13,0,true,hansolo,6EJQon4R
25,James,Bond,25557.28,0,false,jamesbond,1kfbNp2W
26,Hanibal,Lecter,27073.63,0,false,haniballecter,E6l1WgpH
27,Katniss,Everdeen,18758.73,0,true,katnisseverdeen,z@Uei505
28,Thor,Moore,20920.25,0,false,thor,xEj4#TAs
29,Spider-Man,Smith,46552.38,0,true,spider-man,OoU6bx29
30,Michael,Corleone,46780.98,0,false,michaelcorleone,l$lqW*w0
31,Ellen,Ripley,27263.78,0,true,ellenripley,okjgX&kI
32,Wonder,Woman,15981.21,0,false,wonderwoman,QV#Tb!9&
33,Dorothy,Gale,45165.51,0,true,dorothygale,mLY9h3aK
34,Darth,Vader,36818.93,0,false,darthvader,McxFb#wZ
35,Harry,Potter,23411.20,0,true,harrypotter,KjHw49b0
36,Rick,Blaine,35848.75,0,false,rickblaine,Lxt0JrZ%
